Packages,Project,Current Version,Latest Version,Integrity,Requires,Dependencies,hasDependencies
@angular/animations,intern-angular,4.2.6,14.2.9,sha1-nZyAoRmwwDaTy9I7uvcosVMf/8c=,,,False
@angular/common,intern-angular,4.2.6,14.2.9,sha1-IQrOS9JON1+LQbpS/rNLGKiH1do=,,,False
@angular/compiler,intern-angular,4.2.6,14.2.9,sha1-ZndW1JXKDUXSBhJooQ1Sr4Ofr/Q=,,,False
@angular/core,intern-angular,4.2.6,14.2.9,sha1-DByP8BV/B29KfAtyHKFCPxu+Fk4=,,,False
@angular/forms,intern-angular,4.2.6,14.2.9,sha1-nTI5lgjkYDu/GXQXqluU6ApGfrA=,,,False
@angular/http,intern-angular,4.2.6,7.2.16,sha1-SZ4roLvB89cbdt6+wDTJWMrxE04=,,,False
@angular/platform-browser,intern-angular,4.2.6,14.2.9,sha1-oTH/WSIl/mSWvKLJr/YSpNvd9Dc=,,,False
@angular/platform-browser-dynamic,intern-angular,4.2.6,14.2.9,sha1-TmyK0s1c/BeIBBf3fyo0E895HCY=,,,False
@angular/router,intern-angular,4.2.6,14.2.9,sha1-ppGdm2HEX/wV++5ZM5jj/VMtq0Y=,,,False
@dojo/core,intern-angular,2.0.0-beta2.2,2.0.0,sha1-KVQNJLTZWcH8y547NFy4gjqrNoU=,,,False
@dojo/has,intern-angular,2.0.0-beta2.2,2.0.0,sha1-zVQ35NFnZPOOUrnFYfjYeFgSScM=,,,False
@dojo/interfaces,intern-angular,2.0.0-beta2.2,0.2.1,sha1-sIb0tKpLTvehKuBIw0lpvoW3HQM=,,,False
@dojo/shim,intern-angular,2.0.0-beta2.2,2.0.0,sha1-JDDrAQyiCxVVWUu0HiQ2QILtNz8=,,,False
@theintern/dev,intern-angular,0.4.3,0.11.2,sha512-1mQcMcZdUFHs/JJx6NbkMcmk0aazHbzEt3TvHbERHm5rUr0tWC8HlRD/n1QB7pfySBE40mjTQWp90BDUuTNy9A==,,"['ansi-styles: 3.1.0', 'chalk: 2.0.1', 'commander: 2.11.0', 'has-flag: 2.0.0', 'supports-color: 4.2.0', 'tslint: 5.5.0', 'typescript: 2.4.1']",True
@theintern/digdug,intern-angular,2.0.0-beta.7,2.6.2,sha512-yjFAV6+14HWCEvfAwwsBxoRc2NRrTsxT46dvAgTyGDuE1V9n2Ny6LzuXWaXqjWSM+iZqPytEp6N4uupO7UpdaQ==,,,False
@theintern/leadfoot,intern-angular,2.0.0-beta.10,2.4.1,sha512-uTmCxCL1gMTlIBJxH9QpqVsbjS74cVlFriMnXS601qU3efFLYEit5iy+NeKEjlBjl2xXGXUlege/fGb6ffIY3w==,,,False
@types/benchmark,intern-angular,1.0.30,2.1.2,sha1-9r6gus6xeBVZaLmYT5RUb2NndZI=,,,False
@types/chai,intern-angular,4.0.1,4.3.4,sha512-DWrdkraJO+KvBB7+Jc6AuDd2+fwV6Z9iK8cqEEoYpcurYrH7GiUZmwjFuQIIWj5HhFz6NsSxdN72YMIHT7Fy2Q==,,,False
@types/charm,intern-angular,1.0.0,1.0.3,sha1-kQY0TGLywDuvpIP+R3HQ6RJ+uXc=,,,False
@types/diff,intern-angular,3.2.0,5.0.2,sha1-LPAZqYtMygchAstIr1Z1UCtagx8=,,,False
@types/lodash,intern-angular,4.14.68,4.14.188,sha512-tndmbhJc7EeymtvgcZ0oX2H0P95VcT1FlAoeki3bl71DqL9zA/tbJcMZyR1kJkHDvr+57I7+gsn+BVPHIqgcbQ==,,,False
@types/mime-types,intern-angular,2.1.0,2.1.1,sha1-nKUs2jY/aZxpRmwqbM2q2RPqenM=,,,False
@types/node,intern-angular,8.0.10,18.11.9,sha512-ATKQAMGah+e3qNBVdJoCIJk3+RWBkPYtmlluGewO1+t/JmkXEoLnt/WDgHynfGvJyQWTKMq+N1az1E/5YASYGg==,,,False
@types/platform,intern-angular,1.3.0,1.3.4,sha1-PaM3vK4qDQ23dEOmeK8xKCkcz94=,,,False
@types/sinon,intern-angular,2.3.2,10.0.13,sha512-92DKsC/9bnsfyBLdY5AP8Zk7LDbwVF0hBHsfQ3IY3kHXEo3NdJA57090wGmzcnITxupyvR3lXk278tPktM6OJw==,,,False
@types/sinon-chai,intern-angular,2.7.28,3.2.9,sha512-qh9K/XtXzdHWiUqvFFjw3jQ5ZNrw0wzHaCWTcgBfSn7KwbjZHywinAdinSpUXeHBv+4cojk/9WSrPwVPYiITTA==,,,False
@types/source-map,intern-angular,0.1.29,0.5.7,sha1-1wSKYBgLCfiqbVO9oxHGtRy9cBg=,,,False
@types/systemjs,intern-angular,0.20.2,6.1.1,sha1-UsUomig0eBZgvGbnlrrG4Ft7BIo=,,,False
@types/ws,intern-angular,0.0.42,8.5.3,sha512-+30f9gcx24GZRD9EqqiQM+I5pRf/MJiJoEqp2X62QRwfEjdqyn9mPmjxZAEXBUVunWotE5qkadIPqf2MMcDYNw==,,,False
abbrev,intern-angular,1.1.0,2.0.0,sha1-0FVMIlZjbi9W58LlrRg/hZQo2B8=,,,False
accepts,intern-angular,1.3.3,1.3.8,sha1-w8p0NJOGSMPg2cHjKN1otiLChMo=,,,False
after,intern-angular,0.8.1,0.8.2,sha1-q11PuIP1loFtNRX495HAr0ht1ic=,,,False
align-text,intern-angular,0.1.4,1.0.2,sha1-DNkKVhCT810KmSVsIrcGlDP60Rc=,,,False
amdefine,intern-angular,1.0.1,1.0.1,sha1-SlKCrBZHKek2Gbz9OtFR+BfOkfU=,,,False
ansi-regex,intern-angular,2.1.1,6.0.1,sha1-w7M6te42DYbg5ijwRorn7yfWVN8=,,,False
ansi-styles,intern-angular,1.1.0,6.2.1,sha1-6uy/Zs1waIJ2Cy9GkVgrj1XXp94=,,,False
anymatch,intern-angular,1.3.0,3.1.2,sha1-o+Uvo5FoyCX/V7AkgSbOWo/5VQc=,,,False
append-transform,intern-angular,0.4.0,2.0.0,sha1-126/jKlNJ24keja61EpLdKthGZE=,,,False
arr-diff,intern-angular,2.0.0,4.0.0,sha1-jzuCf5Vai9ZpaX5KQlasPOrjVs8=,,,False
arr-flatten,intern-angular,1.1.0,1.1.0,sha512-L3hKV5R/p5o81R7O02IGnwpDmkp6E982XhtbuwSe3O4qOtMMMtodicASA1Cny2U+aCXcNpml+m4dPsvsJ3jatg==,,,False
array-filter,intern-angular,0.0.1,1.0.0,sha1-fajPLiZijtcygDWB/SH2fKzS7uw=,,,False
array-map,intern-angular,0.0.0,0.0.1,sha1-iKK6tz0c97zVwbEYoAP2b2ZfpmI=,,,False
array-reduce,intern-angular,0.0.0,0.0.0,sha1-FziZ0//Rx9k4PkR5Ul2+J4yrXys=,,,False
array-unique,intern-angular,0.2.1,0.3.2,sha1-odl8yvy8JiXMcPrc6zalDFiwGlM=,,,False
arraybuffer.slice,intern-angular,0.0.6,0.0.7,sha1-8zshWfBTKj8xB6JywMz70a0peco=,,,False
arrify,intern-angular,1.0.1,3.0.0,sha1-iYUI2iIm84DfkEcoRWhJwVAaSw0=,,,False
asn1,intern-angular,0.2.3,0.2.6,sha1-2sh4dxPJlmhJ/IGAd36+nB3fO4Y=,,,False
assert-plus,intern-angular,0.2.0,1.0.0,sha1-104bh+ev/A24qttwIfP+SBAasjQ=,,,False
assertion-error,intern-angular,1.0.2,2.0.0,sha1-E8pRXYYgbaC6xm6DTdOX2HWBCUw=,,,False
async,intern-angular,1.5.2,3.2.4,sha1-7GphrlZIDAw8skHJVhjiCJL5Zyo=,,,False
async-each,intern-angular,1.0.1,1.0.3,sha1-GdOGodntxufByF04iu28xW0zYC0=,,,False
async-each-series,intern-angular,0.1.1,1.1.0,sha1-dhfBkXQB/Yykooqtzj266Yr+tDI=,,,False
asynckit,intern-angular,0.4.0,0.4.0,sha1-x57Zf380y48robyXkLzDZkdLS3k=,,,False
aws-sign2,intern-angular,0.6.0,0.7.0,sha1-FDQt0428yU0OW4fXY81jYSwOeU8=,,,False
